Detailed Statistics Departures  
Origin Airport: Newark, NJ: Newark Liberty International (EWR)
Airline: Frontier Airlines Inc. (F9)
Month(s): January, February, March, April, May, June, July, August, September, October, November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2024

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"F9","09/30/2024","3571","N620FR","SJU","05:59","05:52","239","238","-7","06:21","29","0","0","0","0","0"
"F9","09/30/2024","3573","N615FR","SJU","11:13","10:57","239","228","-16","11:19","22","0","0","0","0","0"
"F9","10/01/2024","3571","N620FR","SJU","05:59","05:58","239","231","-1","06:28","30","0","0","0","0","0"
"F9","10/02/2024","3571","N620FR","SJU","05:59","05:48","239","258","-11","06:39","51","0","0","0","0","0"
"F9","10/02/2024","3573","N639FR","SJU","11:13","11:04","239","230","-9","11:22","18","0","0","0","0","0"
"F9","10/03/2024","3571","N631FR","SJU","05:59","05:59","239","241","0","06:31","32","0","0","0","0","0"
"F9","10/04/2024","3571","N603FR","SJU","05:59","05:52","239","235","-7","06:29","37","0","0","0","0","0"
"F9","10/04/2024","3573","N639FR","SJU","11:13","11:11","239","223","-2","11:35","24","0","0","0","0","0"
"F9","10/05/2024","3571","N615FR","SJU","05:59","05:52","239","254","-7","06:20","28","0","0","0","0","0"
"F9","10/05/2024","3573","N609FR","SJU","11:13","11:10","239","220","-3","11:26","16","0","0","0","0","0"
"F9","10/06/2024","3571","N615FR","SJU","05:59","06:36","239","215","37","06:52","16","0","0","0","0","0"
"F9","10/07/2024","3571","N609FR","SJU","05:59","06:09","239","219","10","06:30","21","0","0","0","0","0"
"F9","10/07/2024","3573","N616FR","SJU","11:13","11:50","239","222","37","12:14","24","0","0","0","0","20"
"F9","10/08/2024","3571","N603FR","SJU","05:59","05:52","234","237","-7","06:25","33","0","0","0","0","0"
"F9","10/09/2024","3571","N612FR","SJU","05:59","10:04","234","253","245","10:29","25","245","0","19","0","0"
"F9","10/09/2024","3573","N653FR","SJU","11:13","11:09","234","269","-4","11:34","25","0","0","31","0","0"
"F9","10/10/2024","3571","N603FR","SJU","05:59","05:57","234","234","-2","06:19","22","0","0","0","0","0"
"F9","10/11/2024","3571","N634FR","SJU","05:59","05:48","234","226","-11","06:07","19","0","0","0","0","0"
"F9","10/11/2024","3573","N609FR","SJU","11:13","11:27","234","242","14","11:59","32","5","0","8","0","9"
"F9","10/12/2024","3571","N616FR","SJU","05:59","05:52","234","249","-7","06:18","26","0","0","0","0","0"
"F9","10/12/2024","3573","N624FR","SJU","11:13","11:37","234","265","24","12:02","25","15","0","31","0","9"
"F9","10/13/2024","3571","N653FR","SJU","05:59","06:11","234","233","12","06:30","19","0","0","0","0","0"
